,neighbor_burning,neighbor_birth,alea_burning,Green_proportion
0,0,0,0,0.04296875
1,0,0,10,0.0
2,0,0,20,0.0
3,0,0,30,0.0
4,0,0,40,0.0
5,0,0,50,0.0
6,0,0,60,0.0
7,0,0,70,0.0
8,0,0,80,0.0
9,0,0,90,0.0
10,0,10,0,0.88984375
11,0,10,10,0.420625
12,0,10,20,0.17609375
13,0,10,30,0.01875
14,0,10,40,0.0
15,0,10,50,0.0
16,0,10,60,0.0
17,0,10,70,0.0
18,0,10,80,0.0
19,0,10,90,0.0
20,0,20,0,0.90546875
21,0,20,10,0.56171875
22,0,20,20,0.394375
23,0,20,30,0.29578125
24,0,20,40,0.21234375
25,0,20,50,0.1653125
26,0,20,60,0.11828125
27,0,20,70,0.09
28,0,20,80,0.0484375
29,0,20,90,0.0140625
30,0,30,0,0.90859375
31,0,30,10,0.6159375
32,0,30,20,0.4646875
33,0,30,30,0.366875
34,0,30,40,0.3021875
35,0,30,50,0.249375
36,0,30,60,0.208125
37,0,30,70,0.16625
38,0,30,80,0.15890625
39,0,30,90,0.135625
40,0,40,0,0.93265625
41,0,40,10,0.64484375
42,0,40,20,0.52
43,0,40,30,0.41515625
44,0,40,40,0.35203125
45,0,40,50,0.296875
46,0,40,60,0.24234375
47,0,40,70,0.2271875
48,0,40,80,0.1946875
49,0,40,90,0.184375
50,0,50,0,0.943125
51,0,50,10,0.6759375
52,0,50,20,0.5440625
53,0,50,30,0.4553125
54,0,50,40,0.37921875
55,0,50,50,0.33125
56,0,50,60,0.2890625
57,0,50,70,0.26359375
58,0,50,80,0.23828125
59,0,50,90,0.20703125
60,0,60,0,0.95546875
61,0,60,10,0.69171875
62,0,60,20,0.56
63,0,60,30,0.4815625
64,0,60,40,0.4165625
65,0,60,50,0.3496875
66,0,60,60,0.3246875
67,0,60,70,0.286875
68,0,60,80,0.2540625
69,0,60,90,0.22484375
70,0,70,0,0.96515625
71,0,70,10,0.7153125
72,0,70,20,0.60203125
73,0,70,30,0.50578125
74,0,70,40,0.4328125
75,0,70,50,0.368125
76,0,70,60,0.33796875
77,0,70,70,0.30265625
78,0,70,80,0.285625
79,0,70,90,0.24125
80,0,80,0,0.9803125
81,0,80,10,0.73078125
82,0,80,20,0.60875
83,0,80,30,0.520625
84,0,80,40,0.45171875
85,0,80,50,0.40046875
86,0,80,60,0.35953125
87,0,80,70,0.308125
88,0,80,80,0.2790625
89,0,80,90,0.25453125
90,0,90,0,0.98890625
91,0,90,10,0.74421875
92,0,90,20,0.61921875
93,0,90,30,0.54265625
94,0,90,40,0.47671875
95,0,90,50,0.41171875
96,0,90,60,0.3621875
97,0,90,70,0.3465625
98,0,90,80,0.29421875
99,0,90,90,0.28765625
100,10,0,0,0.0546875
101,10,0,10,0.0
102,10,0,20,0.0
103,10,0,30,0.0
104,10,0,40,0.0
105,10,0,50,0.0
106,10,0,60,0.0
107,10,0,70,0.0
108,10,0,80,0.0
109,10,0,90,0.0
110,10,10,0,0.88765625
111,10,10,10,0.37453125
112,10,10,20,0.1540625
113,10,10,30,0.00390625
114,10,10,40,0.0
115,10,10,50,0.0
116,10,10,60,0.0
117,10,10,70,0.0
118,10,10,80,0.0
119,10,10,90,0.0
120,10,20,0,0.90515625
121,10,20,10,0.51328125
122,10,20,20,0.37484375
123,10,20,30,0.261875
124,10,20,40,0.20140625
125,10,20,50,0.15453125
126,10,20,60,0.10921875
127,10,20,70,0.08015625
128,10,20,80,0.0415625
129,10,20,90,0.01515625
130,10,30,0,0.9125
131,10,30,10,0.5803125
132,10,30,20,0.42921875
133,10,30,30,0.34953125
134,10,30,40,0.29421875
135,10,30,50,0.25828125
136,10,30,60,0.20609375
137,10,30,70,0.18109375
138,10,30,80,0.1521875
139,10,30,90,0.1328125
140,10,40,0,0.9290625
141,10,40,10,0.61265625
142,10,40,20,0.473125
143,10,40,30,0.39109375
144,10,40,40,0.32359375
145,10,40,50,0.290625
146,10,40,60,0.250625
147,10,40,70,0.22546875
148,10,40,80,0.1975
149,10,40,90,0.17328125
150,10,50,0,0.94
151,10,50,10,0.63859375
152,10,50,20,0.51609375
153,10,50,30,0.42140625
154,10,50,40,0.366875
155,10,50,50,0.3159375
156,10,50,60,0.275625
157,10,50,70,0.258125
158,10,50,80,0.23140625
159,10,50,90,0.20484375
160,10,60,0,0.955
161,10,60,10,0.665
162,10,60,20,0.531875
163,10,60,30,0.451875
164,10,60,40,0.39015625
165,10,60,50,0.339375
166,10,60,60,0.3021875
167,10,60,70,0.27890625
168,10,60,80,0.2478125
